nom,prix_intervalle,rating,nb_notes,adresse,ville,main_category,commune,code_postal,arrondissement,zone_paris
LEbauchoir,25.0,5.0,3239,43 rue Citeaux,"Paris, Ile-de-France, France",restaurant francais,Paris,75012.0,12.0,intermediaire
Hestia Restaurant,65.0,5.0,819,8 Rue de la Huchette,"Paris, Ile-de-France, France",restaurant,Paris,75005.0,5.0,centre
Bon Bouquet Cafe,25.0,5.0,11401,30 Rue Le Peletier,"Paris, Ile-de-France, France",cafe,Paris,75009.0,9.0,centre
New Jawad Longchamp,25.0,5.0,11064,30 Rue de Longchamp,"Paris, Ile-de-France, France",restaurant,Paris,75116.0,16.0,peripherie
Trantranzai Chatelet,15.0,5.0,8467,94 Rue St Denis,"Paris, Ile-de-France, France",restaurant chinois,Paris,75001.0,1.0,centre
DAME,47.5,5.0,455,38 Rue Condorcet,"Paris, Ile-de-France, France",restaurant francais,Paris,75009.0,9.0,centre
Ducasse sur Seine,145.0,5.0,2663,19 Port Debilly,"Paris, Ile-de-France, France",restaurant francais,Paris,75016.0,16.0,peripherie
Bistrotters,45.0,5.0,5327,9 Rue Decres,"Paris, Ile-de-France, France",restaurant,Paris,75014.0,14.0,intermediaire
Chantoiseau,49.5,5.0,1291,63 Rue Lepic,"Paris, Ile-de-France, France",restaurant francais,Paris,75018.0,18.0,peripherie
Mallory Gabsi,100.0,5.0,2341,28 Rue des Acacias,"Paris, Ile-de-France, France",restaurant,Paris,75017.0,17.0,peripherie
Tigermilk Sentier - Paris 2,25.0,5.0,8475,77 Rue dAboukir,"Paris, Ile-de-France, France",restaurant,Paris,75002.0,2.0,centre
Kozy Bosquet,15.0,5.0,12406,79 Av. Bosquet,"Paris, Ile-de-France, France",cafe,Paris,75007.0,7.0,centre
La Felicita,15.0,5.0,36220,5 Parv. Alan Turing,"Paris, Ile-de-France, France",pizzeria,Paris,75013.0,13.0,intermediaire
Stellar by Ephemera,30.0,5.0,20157,45 Rue Saint-Sebastien,"Paris, Ile-de-France, France",restaurant,Paris,75011.0,11.0,intermediaire
Peppe Pizzeria Martyrs,25.0,5.0,13389,61 R. des Martyrs,"Paris, Ile-de-France, France",pizzeria,Paris,75009.0,9.0,centre
Derya,25.0,5.0,3896,16 Rue du Faubourg Saint Denis,"Paris, Ile-de-France, France",restaurant,Paris,75010.0,10.0,intermediaire
Les Parisiens Restaurant by Thibault Sombardier,100.0,5.0,1522,1 Rue du Pre aux Clercs,"Paris, Ile-de-France, France",restaurant francais,Paris,75007.0,7.0,centre
Passionne Restaurant,100.0,5.0,4462,17 Rue Bergere,"Paris, Ile-de-France, France",restaurant francais,Paris,75009.0,9.0,centre
Le Viaduc,15.0,5.0,5600,43 Av. Daumesnil,"Paris, Ile-de-France, France",cafe,Paris,75012.0,12.0,intermediaire
East Mamma,25.0,5.0,24756,133 Rue du Faubourg Saint-Antoine,"Paris, Ile-de-France, France",pizzeria,Paris,75011.0,11.0,intermediaire
Orgueil,35.0,5.0,7688,6 Rue Popincourt,"Paris, Ile-de-France, France",restaurant francais,Paris,75011.0,11.0,intermediaire
Le Violon dIngres,100.0,5.0,4209,135 Rue Saint-Dominique,"Paris, Ile-de-France, France",restaurant francais,Paris,75007.0,7.0,centre
Datil,100.0,5.0,845,13 Rue des Gravilliers,"Paris, Ile-de-France, France",restaurant,Paris,75003.0,3.0,centre
Maslow 1er,25.0,5.0,15761,14 Quai de la Megisserie,"Paris, Ile-de-France, France",restaurant,Paris,75001.0,1.0,centre
Mandoobar,40.0,5.0,2652,7 Rue dEdimbourg,"Paris, Ile-de-France, France",restaurant coreens,Paris,75008.0,8.0,centre
Grand Cafe Capucines,37.0,5.0,19271,4 Boulevard des Capucines,"Paris, Ile-de-France, France",cafe,Paris,75009.0,9.0,centre
Brigade du Tigre,23.5,5.0,2533,38 Rue du Faubourg Poissonniere,"Paris, Ile-de-France, France",restaurant asiatiques,Paris,75010.0,10.0,intermediaire
adraba,51.0,5.0,1571,40 Rue Veron,"Paris, Ile-de-France, France",restaurant,Paris,75018.0,18.0,peripherie
Nai Nai - Bistrot chic asiatique,25.0,5.0,6117,93 Rue de la Victoire,"Paris, Ile-de-France, France",restaurant,Paris,75009.0,9.0,centre
Le Jules Verne,100.0,5.0,7871,"Avenue Gustave Eiffel 2eme, Eiffel Tower, Av. Anatole France","Paris, Ile-de-France, France",restaurant francais,Paris,75007.0,7.0,centre
ONYX,56.0,5.0,12097,71 Rue de Provence,"Paris, Ile-de-France, France",restaurant francais,Paris,75009.0,9.0,centre
Epicure,100.0,5.0,5082,112 Rue du Faubourg Saint-Honore,"Paris, Ile-de-France, France",restaurant,Paris,75008.0,8.0,centre
Virtus,100.0,5.0,1981,29 Rue de Cotte,"Paris, Ile-de-France, France",restaurant francais,Paris,75012.0,12.0,intermediaire
Riviera Fuga,55.0,5.0,7479,10 Port des Invalides,"Paris, Ile-de-France, France",restaurant,Paris,75007.0,7.0,centre
Kasumi - Fusion Japonaise,30.0,5.0,7142,38 Rue Balard,"Paris, Ile-de-France, France",restaurant,Paris,75015.0,15.0,intermediaire
Brasserie LAlsace,30.0,5.0,21156,39 Av. des Champs-Elysees,"Paris, Ile-de-France, France",cafe,Paris,75008.0,8.0,centre
Kodawari Ramen Yokocho,25.0,5.0,16684,29 Rue Mazarine,"Paris, Ile-de-France, France",restaurant,Paris,75006.0,6.0,centre
Buffet Gourmet,25.0,5.0,698,46 Rue Vavin,"Paris, Ile-de-France, France",cafeteria,Paris,75006.0,6.0,centre
PEPPE PIZZERIA Etienne Marcel,25.0,5.0,6491,11 Rue Etienne Marcel,"Paris, Ile-de-France, France",pizzeria,Paris,75001.0,1.0,centre
Faubourg Daimant,15.0,5.0,3538,20 Rue du Faubourg Poissonniere,"Paris, Ile-de-France, France",restaurant vegetariens,Paris,75010.0,10.0,intermediaire
Cinquecento,25.0,5.0,6879,38 Rue Saint Denis,"Paris, Ile-de-France, France",pizzeria,Paris,75001.0,1.0,centre
Kozy Montmartre All-week Brunch Coffee,15.0,5.0,7144,5 bis Rue la Vieuville,"Paris, Ile-de-France, France",cafe,Paris,75018.0,18.0,peripherie
Al Solito Posto,15.0,5.0,8010,91 Rue Saint-Martin,"Paris, Ile-de-France, France",pizzeria,Paris,75004.0,4.0,centre
Isshin Ramen,15.0,5.0,9374,168 Rue Montmartre,"Paris, Ile-de-France, France",restaurant,Paris,75002.0,2.0,centre
Chez Pippo,25.0,5.0,10613,31 Av. de la Bourdonnais,"Paris, Ile-de-France, France",pizzeria,Paris,75007.0,7.0,centre
Pink Mamma,30.0,5.0,50145,20bis Rue de Douai,"Paris, Ile-de-France, France",restaurant,Paris,75009.0,9.0,centre
Restaurant Guy Savoy,100.0,5.0,4668,11 Quai de Conti,"Paris, Ile-de-France, France",restaurant,Paris,75006.0,6.0,centre
SHINKO OPERA,15.0,5.0,11355,27 Bd des Italiens,"Paris, Ile-de-France, France",restaurant japonais,Paris,75002.0,2.0,centre
Kozy,15.0,5.0,11226,6 Rue du Petit Pont,"Paris, Ile-de-France, France",cafe,Paris,75005.0,5.0,centre
Aux Lyonnais,32.0,5.0,2326,32 Rue Saint-Marc,"Paris, Ile-de-France, France",restaurant francais,Paris,75002.0,2.0,centre
LOiseau Blanc,100.0,5.0,3393,19 Av. Kleber,"Paris, Ile-de-France, France",restaurant francais,Paris,75116.0,16.0,peripherie
Ground Control,15.0,5.0,15855,81 Rue Du Charolais,"Paris, Ile-de-France, France",pub et bar,Paris,75012.0,12.0,intermediaire
Le Coq Fils - the Poultry House,32.0,5.0,6106,98 Rue Lepic,"Paris, Ile-de-France, France",restaurant francais,Paris,75018.0,18.0,peripherie
La Coupole,43.0,5.0,24807,102 Boulevard du Montparnasse,"Paris, Ile-de-France, France",restaurant,Paris,75014.0,14.0,intermediaire
Pizzeria Popolare,25.0,5.0,45771,111 Rue Reaumur,"Paris, Ile-de-France, France",pizzeria,Paris,75002.0,2.0,centre
Mian Fan Dumpling Factory Paris 2,15.0,5.0,4367,15 Bd Montmartre,"Paris, Ile-de-France, France",restaurant,Paris,75002.0,2.0,centre
Moka Brunch Coffee - Champs Elysees,15.0,5.0,1706,11 Rue du Colisee,"Paris, Ile-de-France, France",restaurant,Paris,75008.0,8.0,centre
GRUPPOMIMO - Paris 2,25.0,5.0,19223,157 Rue Montmartre,"Paris, Ile-de-France, France",pizzeria,Paris,75002.0,2.0,centre
Canard Champagne - French Paradoxe,35.0,5.0,3944,57 Pass. des Panoramas,"Paris, Ile-de-France, France",restaurant francais,Paris,75002.0,2.0,centre
Terrys Cafe,25.0,5.0,14357,60 Bd du Montparnasse,"Paris, Ile-de-France, France",cafe,Paris,75015.0,15.0,intermediaire
Le Nouvel Institut,15.0,5.0,5652,1 Boulevard Saint-Germain,"Paris, Ile-de-France, France",cafe,Paris,75005.0,5.0,centre
Matignon,100.0,5.0,8016,3 Av. Matignon,"Paris, Ile-de-France, France",club,Paris,75008.0,8.0,centre
La petite Bleue Brunch Coffee - Opera,25.0,5.0,10353,13 Rue Auber,"Paris, Ile-de-France, France",cafe,Paris,75009.0,9.0,centre
Francette,28.0,5.0,7947,1 Port de Suffren,"Paris, Ile-de-France, France",restaurant,Paris,75007.0,7.0,centre
Matin des Oliviers,25.0,5.0,5389,2 Rue de lEchelle,"Paris, Ile-de-France, France",restaurant,Paris,75001.0,1.0,centre
Vins Des Pyrenees,28.5,5.0,2448,25 Rue Beautreillis,"Paris, Ile-de-France, France",restaurant francais,Paris,75004.0,4.0,centre
Le Tout-Paris,100.0,5.0,2127,8 Quai du Louvre,"Paris, Ile-de-France, France",restaurant,Paris,75001.0,1.0,centre
Kozy Kanope All-week Brunch Coffee,15.0,5.0,12960,46 Rue La Fayette,"Paris, Ile-de-France, France",cafe,Paris,75009.0,9.0,centre
Le Fumoir,15.0,5.0,7223,6 Rue de Admiral Coligny,"Paris, Ile-de-France, France",restaurant,Paris,75001.0,1.0,centre
Breizh Cafe Odeon La Crepe Autrement,25.0,5.0,3465,1 Rue de lOdeon,"Paris, Ile-de-France, France",cafe,Paris,75006.0,6.0,centre
GRUPPOMIMO - Restaurant Italien Paris 11,25.0,5.0,9744,24 Rue Keller,"Paris, Ile-de-France, France",restaurant,Paris,75011.0,11.0,intermediaire
Le Christine,100.0,5.0,4381,1 Rue Christine,"Paris, Ile-de-France, France",restaurant francais,Paris,75006.0,6.0,centre
Liza,39.0,5.0,3192,14 Rue de la Banque,"Paris, Ile-de-France, France",restaurant,Paris,75002.0,2.0,centre
Le Cinq,100.0,5.0,4385,31 Av. George V,"Paris, Ile-de-France, France",restaurant francais,Paris,75008.0,8.0,centre
Le Clarence,205.0,5.0,1696,31 Av. Franklin Delano Roosevelt,"Paris, Ile-de-France, France",restaurant francais,Paris,75008.0,8.0,centre
FIEF Fait Ici En France,100.0,5.0,1491,44 Rue de la Folie Mericourt,"Paris, Ile-de-France, France",restaurant francais,Paris,75011.0,11.0,intermediaire
La Table de Colette,100.0,5.0,2704,17 Rue Laplace,"Paris, Ile-de-France, France",restaurant francais,Paris,75005.0,5.0,centre
Biwan iRASSHAi,25.0,5.0,2185,40 Rue du Louvre,"Paris, Ile-de-France, France",restaurant japonais,Paris,75001.0,1.0,centre
La Casa di Alfio,25.0,5.0,8371,43 Av. de la Bourdonnais,"Paris, Ile-de-France, France",pizzeria,Paris,75007.0,7.0,centre
Mian Fan,15.0,5.0,6530,20 Rue de Mogador,"Paris, Ile-de-France, France",restaurant,Paris,75009.0,9.0,centre
La Cremaillere 1900,23.5,5.0,10514,15 Pl. du Tertre,"Paris, Ile-de-France, France",restaurant francais,Paris,75018.0,18.0,peripherie
ANONA,100.0,5.0,1630,80 Bd des Batignolles,"Paris, Ile-de-France, France",restaurant francais,Paris,75017.0,17.0,peripherie
Ti Amo - Chatelet-les-Halles,15.0,5.0,3352,25 Rue de la Reynie,"Paris, Ile-de-France, France",restaurant,Paris,75001.0,1.0,centre
Toppoki,15.0,5.0,4202,109 Bd Saint-Germain,"Paris, Ile-de-France, France",restaurant,Paris,75006.0,6.0,centre
Le Carre Elysee,30.0,5.0,4293,49 Av. Franklin Delano Roosevelt,"Paris, Ile-de-France, France",cafe,Paris,75008.0,8.0,centre
La Maison de lAubrac,30.5,5.0,11125,37 Rue Marbeuf,"Paris, Ile-de-France, France",restaurant francais,Paris,75008.0,8.0,centre
Fuuki,15.0,5.0,4184,113 Rue du Chevaleret,"Paris, Ile-de-France, France",restaurant,Paris,75013.0,13.0,intermediaire
Bouillon Chartier,15.0,5.0,20245,59 Bd du Montparnasse,"Paris, Ile-de-France, France",restaurant francais,Paris,75015.0,15.0,intermediaire
Chez Gladines Saint Germain,25.0,5.0,3569,44 Bd Saint-Germain,"Paris, Ile-de-France, France",restaurant,Paris,75005.0,5.0,centre
Restaurant Numidia,15.0,5.0,10249,126 Rue dAvron,"Paris, Ile-de-France, France",restaurant algeriens,Paris,75020.0,20.0,peripherie
LAtelier de Joel Robuchon Etoile - Champs-Elysees,100.0,5.0,5672,"Publicis Drugstore, 133 Av. des Champs-Elysees","Paris, Ile-de-France, France",restaurant francais,Paris,75008.0,8.0,centre
Mont Frenchy,25.0,5.0,5921,56 Bd du Montparnasse,"Paris, Ile-de-France, France",restaurant francais,Paris,75015.0,15.0,intermediaire
Chakaiseki Akiyoshi,100.0,5.0,970,59 Rue Letellier,"Paris, Ile-de-France, France",restaurant japonais,Paris,75015.0,15.0,intermediaire
Au Pied de Cochon,34.5,5.0,29600,6 Rue Coquilliere,"Paris, Ile-de-France, France",restaurant,Paris,75001.0,1.0,centre
Brasserie Des Pres,30.0,5.0,6647,6 Cr du Commerce Saint-Andre,"Paris, Ile-de-France, France",cafe,Paris,75006.0,6.0,centre
Fuwa Fuwa,15.0,5.0,1742,16 Rue dArgenteuil,"Paris, Ile-de-France, France",desserts,Paris,75001.0,1.0,centre
Choubidou Bastille,5.5,5.0,1152,71 Rue de Lyon,"Paris, Ile-de-France, France",restaurant,Paris,75012.0,12.0,intermediaire
La Fontaine de Mars,30.5,5.0,5427,129 Rue Saint-Dominique,"Paris, Ile-de-France, France",restaurant,Paris,75007.0,7.0,centre
Bofinger,43.0,5.0,19121,5-7 Rue de la Bastille,"Paris, Ile-de-France, France",restaurant francais,Paris,75004.0,4.0,centre
Le Train Bleu,32.0,5.0,44686,"Gare de Lyon, Pl. Louis Armand hall 1","Paris, Ile-de-France, France",restaurant francais,Paris,75012.0,12.0,intermediaire
etsi - le bistro,40.0,5.0,1689,23 Rue Eugene Carriere,"Paris, Ile-de-France, France",restaurant,Paris,75018.0,18.0,peripherie
Laduree Champs-Elysees,35.0,5.0,30433,75 Av. des Champs-Elysees,"Paris, Ile-de-France, France",desserts,Paris,75008.0,8.0,centre
Les Deux Magots,32.0,5.0,18705,6 Pl. Saint-Germain des Pres,"Paris, Ile-de-France, France",cafe,Paris,75006.0,6.0,centre
"Angelina Paris Rivoli, Salon de the historique",20.0,5.0,44686,226 Rue de Rivoli,"Paris, Ile-de-France, France",desserts,Paris,75001.0,1.0,centre
Madame Brasserie - Tour Eiffel,100.0,5.0,7930,"Eiffel Tower, 1er","Paris, Ile-de-France, France",restaurant,Paris,75007.0,7.0,centre
Bateaux-Mouches,79.0,5.0,31013,Port de la Conference,"Paris, Ile-de-France, France",restaurant,Paris,75008.0,8.0,centre
Capsule Restaurant,40.0,5.0,517,2 Rue Cassini,"Paris, Ile-de-France, France",restaurant,Paris,75014.0,14.0,intermediaire
Monsieur Bleu,100.0,5.0,7591,"Palais De Tokyo, 20 Avenue De New York","Paris, Ile-de-France, France",restaurant francais,Paris,75116.0,16.0,peripherie
Pierre Sang In Oberkampf,34.5,5.0,4831,55 Rue Oberkampf,"Paris, Ile-de-France, France",restaurant,Paris,75011.0,11.0,intermediaire
Gros Bao - Paris,25.0,5.0,8231,72 Quai de Jemmapes,"Paris, Ile-de-France, France",restaurant chinois,Paris,75010.0,10.0,intermediaire
Benoit Paris,100.0,5.0,5637,20 Rue Saint-Martin,"Paris, Ile-de-France, France",restaurant francais,Paris,75004.0,4.0,centre
Rosa Bonheur Buttes Chaumont,15.0,5.0,4303,2 Av. de la Cascade,"Paris, Ile-de-France, France",pub et bar,Paris,75019.0,19.0,peripherie
Alea,30.0,5.0,1092,39 Rue Lamarck,"Paris, Ile-de-France, France",restaurant francais,Paris,75018.0,18.0,peripherie
Breizh Cafe Marais La Crepe Autrement,25.0,5.0,8237,109 Rue Vieille du Temple,"Paris, Ile-de-France, France",cafe,Paris,75003.0,3.0,centre
La REcyclerie,25.0,5.0,10555,83 Bd Ornano,"Paris, Ile-de-France, France",restaurant francais,Paris,75018.0,18.0,peripherie
Loulou,25.0,5.0,11969,90 Bd Saint-Germain,"Paris, Ile-de-France, France",restaurant,Paris,75005.0,5.0,centre
Harrys Bar Paris,15.0,5.0,6154,5 Rue Daunou,"Paris, Ile-de-France, France",bars a cocktails,Paris,75002.0,2.0,centre
Sushi Way Forum des Halles,15.0,5.0,4086,"101 Porte Berger, Lot 07","Paris, Ile-de-France, France",sushis,Paris,75001.0,1.0,centre
Caillebotte,24.0,5.0,2242,8 Rue Hippolyte Lebas,"Paris, Ile-de-France, France",restaurant,Paris,75009.0,9.0,centre
Le Cafe Marly,32.5,5.0,18712,93 Rue de Rivoli,"Paris, Ile-de-France, France",cafe,Paris,75001.0,1.0,centre
Black Angus Republique,35.0,5.0,11037,8 Pl. de la Republique,"Paris, Ile-de-France, France",restaurant francais,Paris,75011.0,11.0,intermediaire
Le Pre Catelan,240.0,5.0,3428,Bois de Boulogne,"Paris, Ile-de-France, France",restaurant,Paris,75016.0,16.0,peripherie
Le Petit Cler,25.0,5.0,4054,29 Rue Cler,"Paris, Ile-de-France, France",restaurant,Paris,75007.0,7.0,centre
BRU Paris,40.0,5.0,506,28 Rue Jean-Baptiste Pigalle,"Paris, Ile-de-France, France",restaurant,Paris,75009.0,9.0,centre
Bouillon Chartier Grands Boulevards,15.0,5.0,51579,7 Rue du Faubourg Montmartre,"Paris, Ile-de-France, France",restaurant francais,Paris,75009.0,9.0,centre
Le Wepler,30.5,5.0,6416,14 Pl. de Clichy,"Paris, Ile-de-France, France",restaurant,Paris,75018.0,18.0,peripherie
Brasserie Dubillot,25.0,5.0,9138,222 Rue St Denis,"Paris, Ile-de-France, France",restaurant francais,Paris,75002.0,2.0,centre
Les Resistants,32.5,5.0,2070,16 Rue du Chateau dEau,"Paris, Ile-de-France, France",restaurant francais,Paris,75010.0,10.0,intermediaire
Immersion Vendome,25.0,5.0,7187,"Immersion Vendome, 23 Rue Danielle Casanova","Paris, Ile-de-France, France",cafe,Paris,75001.0,1.0,centre
Les Ombres,105.0,5.0,9394,27 Quai Jacques Chirac,"Paris, Ile-de-France, France",restaurant francais,Paris,75007.0,7.0,centre
LAtelier De Joel Robuchon Saint-Germain,100.0,5.0,8820,5 Rue de Montalembert,"Paris, Ile-de-France, France",restaurant francais,Paris,75007.0,7.0,centre
Rooster par Frederic Duca,100.0,5.0,1429,137 Rue Cardinet,"Paris, Ile-de-France, France",restaurant francais,Paris,75017.0,17.0,peripherie
Mama Restaurant Paris West,35.0,5.0,2970,20 Av. de la Prte de la Plaine,"Paris, Ile-de-France, France",restaurant,Paris,75015.0,15.0,intermediaire
Folie Crabe Etienne Marcel,15.0,5.0,3315,6 Rue Etienne Marcel,"Paris, Ile-de-France, France",fruits de mer,Paris,75002.0,2.0,centre
WALY-FAY,35.0,5.0,3069,6 Rue Godefroy Cavaignac,"Paris, Ile-de-France, France",restaurant africains,Paris,75011.0,11.0,intermediaire
Flora Danica,49.5,5.0,10155,142 Avenue des Champs-Elysees,"Paris, Ile-de-France, France",restaurant danois,Paris,75008.0,8.0,centre
Shodai Matcha Paris,15.0,5.0,5601,19 Rue Saint-Augustin,"Paris, Ile-de-France, France",desserts,Paris,75002.0,2.0,centre
Frenchie,100.0,5.0,5114,5 Rue du Nil,"Paris, Ile-de-France, France",restaurant francais,Paris,75002.0,2.0,centre
Auteuil Brasserie,30.0,5.0,13088,78 Rue dAuteuil,"Paris, Ile-de-France, France",restaurant,Paris,75016.0,16.0,peripherie
Ose,41.5,5.0,638,3 Rue Durantin,"Paris, Ile-de-France, France",restaurant francais,Paris,75018.0,18.0,peripherie
LAtelier Artisan Crepier,25.0,5.0,6511,32 Cr Saint-Emilion,"Paris, Ile-de-France, France",desserts,Paris,75012.0,12.0,intermediaire
McDonalds,15.0,5.0,8369,"Rue De Provence, 96","Paris, Ile-de-France, France",fast food,Paris,75009.0,9.0,centre
Bistrot Instinct,42.0,5.0,1894,19 Rue de Picardie,"Paris, Ile-de-France, France",restaurant francais,Paris,75003.0,3.0,centre
Les Antiquaires,15.0,5.0,11140,13 Rue du Bac,"Paris, Ile-de-France, France",restaurant francais,Paris,75007.0,7.0,centre
Loulou,53.5,5.0,7022,107 Rue de Rivoli,"Paris, Ile-de-France, France",restaurant,Paris,75001.0,1.0,centre
Joayo13 - Restaurant Coreen Karaoke,25.0,5.0,3646,44 Avenue De Choisy,"Paris, Ile-de-France, France",restaurant,Paris,75013.0,13.0,intermediaire
Bistro LOlivier,30.0,4.9,5968,88 Rue Ordener,"Paris, Ile-de-France, France",restaurant,Paris,75018.0,18.0,peripherie
Candelaria,25.0,4.9,6614,52 Rue de Saintonge,"Paris, Ile-de-France, France",pub et bar,Paris,75003.0,3.0,centre
MALA MALA,15.0,4.9,2794,324 Rue Saint-Martin,"Paris, Ile-de-France, France",restaurant chinois,Paris,75003.0,3.0,centre
La Taverne de Zhaosaint germain des pres,15.0,4.9,3032,82 Rue Mazarine,"Paris, Ile-de-France, France",restaurant chinois,Paris,75006.0,6.0,centre
Restaurant Super Huit Paris 8,55.0,4.9,452,95 Rue de Miromesnil,"Paris, Ile-de-France, France",restaurant francais,Paris,75008.0,8.0,centre
Trattoria en Seine,49.0,4.9,4449,2 Rue du Ranelagh,"Paris, Ile-de-France, France",restaurant,Paris,75016.0,16.0,peripherie
Tekes,70.0,4.9,1387,4 bis Rue Saint-Sauveur,"Paris, Ile-de-France, France",restaurant israeliens,Paris,75002.0,2.0,centre
McDonalds,15.0,4.9,3848,9 Bd de la Madeleine,"Paris, Ile-de-France, France",fast food,Paris,75001.0,1.0,centre
Burger King,15.0,4.9,22532,79-81 Quai De La Gare,"Paris, Ile-de-France, France",fast food,Paris,75013.0,13.0,intermediaire
ANDIA,32.5,4.9,13185,19 Chau. de la Muette,"Paris, Ile-de-France, France",restaurant francais,Paris,75016.0,16.0,peripherie
Le Petit Bouillon Pharamond,25.0,4.9,9003,24 Rue de la Grande Truanderie,"Paris, Ile-de-France, France",restaurant francais,Paris,75001.0,1.0,centre
Milagro,140.5,4.9,986,85 Av. Bosquet,"Paris, Ile-de-France, France",restaurant,Paris,75007.0,7.0,centre
Azur Cafe Champs-Elysees - Brunch Coffee Shop Lunch,25.0,4.9,9680,63 Rue de Ponthieu,"Paris, Ile-de-France, France",cafe,Paris,75008.0,8.0,centre
Latelier Entrecote Volaille,35.0,4.9,4064,21 Bd Beaumarchais,"Paris, Ile-de-France, France",restaurant francais,Paris,75004.0,4.0,centre
Chez Janou,30.0,4.9,10888,2 Rue Roger Verlomme,"Paris, Ile-de-France, France",restaurant,Paris,75003.0,3.0,centre
Origines Paris,100.0,4.9,1366,6 Rue De Ponthieu,"Paris, Ile-de-France, France",restaurant,Paris,75008.0,8.0,centre
Cafe Oz Rooftop - The Australian Bar,20.0,4.9,11909,"Cite de la Mode et du Design, 34 Quai dAusterlitz","Paris, Ile-de-France, France",cafe georgien,Paris,75013.0,13.0,intermediaire
Melagodo,25.0,4.9,4646,10 Rue Nelaton,"Paris, Ile-de-France, France",restaurant,Paris,75015.0,15.0,intermediaire
MELT,25.0,4.9,8880,74 Rue de la Folie Mericourt,"Paris, Ile-de-France, France",restaurant,Paris,75011.0,11.0,intermediaire
Allard,100.0,4.9,3155,41 Rue Saint-Andre des Arts,"Paris, Ile-de-France, France",restaurant francais,Paris,75006.0,6.0,centre
La Taverne De ZHAOBastille,15.0,4.9,1595,67 Rue de la Roquette,"Paris, Ile-de-France, France",restaurant chinois,Paris,75011.0,11.0,intermediaire
Pizzeria Maria,15.0,4.9,2308,21 Rue de Picardie,"Paris, Ile-de-France, France",pizzeria,Paris,75003.0,3.0,centre
Cafe Odessa - Brasserie parisienne tendance,15.0,4.9,4883,28 Rue dOdessa,"Paris, Ile-de-France, France",cafe,Paris,75014.0,14.0,intermediaire
La Patisserie du Meurice par Cedric Grolet,15.0,4.9,3882,6 Rue de Castiglione,"Paris, Ile-de-France, France",desserts,Paris,75001.0,1.0,centre
Le Pantruche,22.5,4.9,2088,3 Rue Victor Masse,"Paris, Ile-de-France, France",restaurant francais,Paris,75009.0,9.0,centre
Le Drugstore,41.0,4.9,6830,133 Av. des Champs-Elysees,"Paris, Ile-de-France, France",restaurant francais,Paris,75008.0,8.0,centre
Mina Mahal,25.0,4.9,1787,25 Rue Cambronne,"Paris, Ile-de-France, France",restaurant,Paris,75015.0,15.0,intermediaire
Chez Zhong,15.0,4.9,4683,69 Av. Kleber,"Paris, Ile-de-France, France",restaurant,Paris,75116.0,16.0,peripherie
Pocha,25.0,4.9,1954,82 Bd du Montparnasse,"Paris, Ile-de-France, France",restaurant coreens,Paris,75014.0,14.0,intermediaire
Ose African Cuisine Voltaire,15.0,4.9,1650,4 Ave Parmentier,"Paris, Ile-de-France, France",fast food,Paris,75011.0,11.0,intermediaire
Sharma Ji,20.5,4.9,880,16 Rue Fremicourt,"Paris, Ile-de-France, France",restaurant indiens,Paris,75015.0,15.0,intermediaire
Le Morello Restaurant italien Paris,30.0,4.9,3147,20 Rue Clapeyron,"Paris, Ile-de-France, France",restaurant,Paris,75008.0,8.0,centre
