"id_restaurant","nom_restaurant","prix_moyen","rating","nb_notes","adresse","ville","main_category","commune","code_postal","arrondissement","zone_paris","insee_from_cp","insee_com","nom_arrondissement","pop_totale","pop_3_20_ans","nb_familles","nb_familles_mono","part_pop_3_20","part_fam_mono","revenu_median","taux_bac","taux_ouvrier","taux_chomage","facteur_deprivation","part_apl"
12,"Immersion Sentier - Lunch Everyday Brunch Coffee",25.0,5.0,5306,"106 Rue Montmartre","Paris, Ile-de-France, France","cafe","Paris","75002",2,"centre","75102","75102","Paris 2e Arrondissement",21130.0,3000.31881558287,4924.89480734583,659.024051475884,0.619470520834343,0.687602171366908,32380,0.840393667932997,0.036713077447815,0.081152251209948,2.60730658520125,6.091
13,"LEbauchoir",25.0,5.0,3239,"43 rue Citeaux","Paris, Ile-de-France, France","restaurant francais","Paris","75012",12,"intermediaire","75112","75112","Paris 12e Arrondissement",140311.0,23290.1806582801,33253.9188177107,6535.30052445586,0.724158900822797,1.00984719740025,29250,0.757852723654768,0.038086111867207,0.078425923577196,1.8346477947609,4.146
14,"Hestia Restaurant",65.0,5.0,819,"8 Rue de la Huchette","Paris, Ile-de-France, France","restaurant","Paris","75005",5,"centre","75105","75105","Paris 5e Arrondissement",57380.0,10853.1833131306,12762.6203488744,2047.51752995005,0.825181209903045,0.824367215166068,34650,0.852722588714883,0.022065761923038,0.061616505985879,3.43672949788336,5.6
15,"Bon Bouquet Cafe",25.0,5.0,11401,"30 Rue Le Peletier","Paris, Ile-de-France, France","cafe","Paris","75009",9,"centre","75109","75109","Paris 9e Arrondissement",60168.0,9785.83369966075,14608.6262698335,2112.99452561135,0.709553245832839,0.743227767047381,35630,0.85008578734145,0.030019388169036,0.076818168211707,3.21525560165214,5.741
16,"New Jawad Longchamp",25.0,5.0,11064,"30 Rue de Longchamp","Paris, Ile-de-France, France","restaurant","Paris","75116",16,"peripherie","75116","75116","Paris 16e Arrondissement",162820.0,32366.3837401309,40763.4493727417,6492.4010657931,0.867239727109331,0.818403253535766,40140,0.824474795160243,0.025874171304588,0.069093386917932,3.84720191018132,3.657
17,"Trantranzai Chatelet",15.0,5.0,8467,"94 Rue St Denis","Paris, Ile-de-France, France","restaurant chinois","Paris","75001",1,"centre","75101","75101","Paris 1er Arrondissement",16030.0,2253.85676832728,3625.24399870642,646.448751278679,0.61340247876124,0.916283343788528,33960,0.812463042504407,0.030768029448353,0.07851608460805,2.78080078176679,6.207
18,"DAME",47.5,5.0,455,"38 Rue Condorcet","Paris, Ile-de-France, France","restaurant francais","Paris","75009",9,"centre","75109","75109","Paris 9e Arrondissement",60168.0,9785.83369966075,14608.6262698335,2112.99452561135,0.709553245832839,0.743227767047381,35630,0.85008578734145,0.030019388169036,0.076818168211707,3.21525560165214,5.741
19,"Ducasse sur Seine",145.0,5.0,2663,"19 Port Debilly","Paris, Ile-de-France, France","restaurant francais","Paris","75016",16,"peripherie","75116","75116","Paris 16e Arrondissement",162820.0,32366.3837401309,40763.4493727417,6492.4010657931,0.867239727109331,0.818403253535766,40140,0.824474795160243,0.025874171304588,0.069093386917932,3.84720191018132,3.657
20,"Bistrotters",45.0,5.0,5327,"9 Rue Decres","Paris, Ile-de-France, France","restaurant","Paris","75014",14,"intermediaire","75114","75114","Paris 14e Arrondissement",133967.0,22244.8424291788,30318.9850075247,6009.22091911199,0.724409667253306,1.01844233884749,28730,0.782915953622741,0.030631479354502,0.07956018221338,1.94411586474717,4.301
21,"Chantoiseau",49.5,5.0,1291,"63 Rue Lepic","Paris, Ile-de-France, France","restaurant francais","Paris","75018",18,"peripherie","75118","75118","Paris 18e Arrondissement",191135.0,30805.0161302009,43425.8288875106,9783.97545467691,0.703127291700882,1.15771103039105,23930,0.715037004573533,0.059916595322748,0.092040756232497,0.490370335625503,4.506
22,"Mallory Gabsi",100.0,5.0,2341,"28 Rue des Acacias","Paris, Ile-de-France, France","restaurant","Paris","75017",17,"peripherie","75117","75117","Paris 17e Arrondissement",166336.0,29098.9451366555,39612.093970877,7180.83231865524,0.763209430182993,0.931493692158404,32290,0.788740297106962,0.037959664106942,0.083282988555933,2.29737361025854,4.876
23,"Tigermilk Sentier - Paris 2",25.0,5.0,8475,"77 Rue dAboukir","Paris, Ile-de-France, France","restaurant","Paris","75002",2,"centre","75102","75102","Paris 2e Arrondissement",21130.0,3000.31881558287,4924.89480734583,659.024051475884,0.619470520834343,0.687602171366908,32380,0.840393667932997,0.036713077447815,0.081152251209948,2.60730658520125,6.091
24,"Kozy Bosquet",15.0,5.0,12406,"79 Av. Bosquet","Paris, Ile-de-France, France","cafe","Paris","75007",7,"centre","75107","75107","Paris 7e Arrondissement",48520.0,8118.98517883259,11547.3973563606,1512.59421664728,0.730018207474047,0.673087086427869,44110,0.855623356214713,0.022072883224414,0.061382880841802,4.68011779355016,5.554
25,"La Felicita",15.0,5.0,36220,"5 Parv. Alan Turing","Paris, Ile-de-France, France","pizzeria","Paris","75013",13,"intermediaire","75113","75113","Paris 13e Arrondissement",177833.0,31293.0765255113,42124.7879193933,9585.27451431624,0.76769487760366,1.16922949207519,25100,0.711342220513138,0.047742325263558,0.094182696802569,0.709941501291032,4.338
26,"Stellar by Ephemera",30.0,5.0,20157,"45 Rue Saint-Sebastien","Paris, Ile-de-France, France","restaurant","Paris","75011",11,"intermediaire","75111","75111","Paris 11e Arrondissement",144292.0,20400.7246421751,33053.4147599171,5981.67164727312,0.616816633299328,0.929906256574518,29100,0.784700328660087,0.035876115755649,0.08903590112955,1.78857188186815,5.078
27,"Peppe Pizzeria Martyrs",25.0,5.0,13389,"61 R. des Martyrs","Paris, Ile-de-France, France","pizzeria","Paris","75009",9,"centre","75109","75109","Paris 9e Arrondissement",60168.0,9785.83369966075,14608.6262698335,2112.99452561135,0.709553245832839,0.743227767047381,35630,0.85008578734145,0.030019388169036,0.076818168211707,3.21525560165214,5.741
28,"Derya",25.0,5.0,3896,"16 Rue du Faubourg Saint Denis","Paris, Ile-de-France, France","restaurant","Paris","75010",10,"intermediaire","75110","75110","Paris 10e Arrondissement",83459.0,13494.021452243,19584.0122896016,3264.72212696351,0.705376448586344,0.856598842358534,28060,0.774063111880029,0.044224639427051,0.095936388703015,1.40254851180917,5.934
29,"Les Parisiens Restaurant by Thibault Sombardier",100.0,5.0,1522,"1 Rue du Pre aux Clercs","Paris, Ile-de-France, France","restaurant francais","Paris","75007",7,"centre","75107","75107","Paris 7e Arrondissement",48520.0,8118.98517883259,11547.3973563606,1512.59421664728,0.730018207474047,0.673087086427869,44110,0.855623356214713,0.022072883224414,0.061382880841802,4.68011779355016,5.554
30,"Passionne Restaurant",100.0,5.0,4462,"17 Rue Bergere","Paris, Ile-de-France, France","restaurant francais","Paris","75009",9,"centre","75109","75109","Paris 9e Arrondissement",60168.0,9785.83369966075,14608.6262698335,2112.99452561135,0.709553245832839,0.743227767047381,35630,0.85008578734145,0.030019388169036,0.076818168211707,3.21525560165214,5.741
31,"Le Viaduc",15.0,5.0,5600,"43 Av. Daumesnil","Paris, Ile-de-France, France","cafe","Paris","75012",12,"intermediaire","75112","75112","Paris 12e Arrondissement",140311.0,23290.1806582801,33253.9188177107,6535.30052445586,0.724158900822797,1.00984719740025,29250,0.757852723654768,0.038086111867207,0.078425923577196,1.8346477947609,4.146
32,"East Mamma",25.0,5.0,24756,"133 Rue du Faubourg Saint-Antoine","Paris, Ile-de-France, France","pizzeria","Paris","75011",11,"intermediaire","75111","75111","Paris 11e Arrondissement",144292.0,20400.7246421751,33053.4147599171,5981.67164727312,0.616816633299328,0.929906256574518,29100,0.784700328660087,0.035876115755649,0.08903590112955,1.78857188186815,5.078
33,"Orgueil",35.0,5.0,7688,"6 Rue Popincourt","Paris, Ile-de-France, France","restaurant francais","Paris","75011",11,"intermediaire","75111","75111","Paris 11e Arrondissement",144292.0,20400.7246421751,33053.4147599171,5981.67164727312,0.616816633299328,0.929906256574518,29100,0.784700328660087,0.035876115755649,0.08903590112955,1.78857188186815,5.078
34,"Le Violon dIngres",100.0,5.0,4209,"135 Rue Saint-Dominique","Paris, Ile-de-France, France","restaurant francais","Paris","75007",7,"centre","75107","75107","Paris 7e Arrondissement",48520.0,8118.98517883259,11547.3973563606,1512.59421664728,0.730018207474047,0.673087086427869,44110,0.855623356214713,0.022072883224414,0.061382880841802,4.68011779355016,5.554
35,"Datil",100.0,5.0,845,"13 Rue des Gravilliers","Paris, Ile-de-France, France","restaurant","Paris","75003",3,"centre","75103","75103","Paris 3e Arrondissement",33402.0,4727.55499053531,7816.18302332249,1418.54178817573,0.617471409097184,0.932567652401368,33180,0.836094404907947,0.02735407706541,0.080415680775181,2.7962955716641,5.736
36,"Maslow 1er",25.0,5.0,15761,"14 Quai de la Megisserie","Paris, Ile-de-France, France","restaurant","Paris","75001",1,"centre","75101","75101","Paris 1er Arrondissement",16030.0,2253.85676832728,3625.24399870642,646.448751278679,0.61340247876124,0.916283343788528,33960,0.812463042504407,0.030768029448353,0.07851608460805,2.78080078176679,6.207
37,"Mandoobar",40.0,5.0,2652,"7 Rue dEdimbourg","Paris, Ile-de-France, France","restaurant coreens","Paris","75008",8,"centre","75108","75108","Paris 8e Arrondissement",35631.0,7081.67320716381,8845.45397479675,1289.69041278396,0.867082869656758,0.749200878157974,42680,0.83621824477181,0.030587773598227,0.063637978583227,4.27771457621156,5.256
38,"Grand Cafe Capucines",37.0,5.0,19271,"4 Boulevard des Capucines","Paris, Ile-de-France, France","cafe","Paris","75009",9,"centre","75109","75109","Paris 9e Arrondissement",60168.0,9785.83369966075,14608.6262698335,2112.99452561135,0.709553245832839,0.743227767047381,35630,0.85008578734145,0.030019388169036,0.076818168211707,3.21525560165214,5.741
39,"Brigade du Tigre",23.5,5.0,2533,"38 Rue du Faubourg Poissonniere","Paris, Ile-de-France, France","restaurant asiatiques","Paris","75010",10,"intermediaire","75110","75110","Paris 10e Arrondissement",83459.0,13494.021452243,19584.0122896016,3264.72212696351,0.705376448586344,0.856598842358534,28060,0.774063111880029,0.044224639427051,0.095936388703015,1.40254851180917,5.934
40,"adraba",51.0,5.0,1571,"40 Rue Veron","Paris, Ile-de-France, France","restaurant","Paris","75018",18,"peripherie","75118","75118","Paris 18e Arrondissement",191135.0,30805.0161302009,43425.8288875106,9783.97545467691,0.703127291700882,1.15771103039105,23930,0.715037004573533,0.059916595322748,0.092040756232497,0.490370335625503,4.506
41,"Nai Nai - Bistrot chic asiatique",25.0,5.0,6117,"93 Rue de la Victoire","Paris, Ile-de-France, France","restaurant","Paris","75009",9,"centre","75109","75109","Paris 9e Arrondissement",60168.0,9785.83369966075,14608.6262698335,2112.99452561135,0.709553245832839,0.743227767047381,35630,0.85008578734145,0.030019388169036,0.076818168211707,3.21525560165214,5.741
42,"Le Jules Verne",100.0,5.0,7871,"Avenue Gustave Eiffel 2eme, Eiffel Tower, Av. Anatole France","Paris, Ile-de-France, France","restaurant francais","Paris","75007",7,"centre","75107","75107","Paris 7e Arrondissement",48520.0,8118.98517883259,11547.3973563606,1512.59421664728,0.730018207474047,0.673087086427869,44110,0.855623356214713,0.022072883224414,0.061382880841802,4.68011779355016,5.554
43,"ONYX",56.0,5.0,12097,"71 Rue de Provence","Paris, Ile-de-France, France","restaurant francais","Paris","75009",9,"centre","75109","75109","Paris 9e Arrondissement",60168.0,9785.83369966075,14608.6262698335,2112.99452561135,0.709553245832839,0.743227767047381,35630,0.85008578734145,0.030019388169036,0.076818168211707,3.21525560165214,5.741
44,"Epicure",100.0,5.0,5082,"112 Rue du Faubourg Saint-Honore","Paris, Ile-de-France, France","restaurant","Paris","75008",8,"centre","75108","75108","Paris 8e Arrondissement",35631.0,7081.67320716381,8845.45397479675,1289.69041278396,0.867082869656758,0.749200878157974,42680,0.83621824477181,0.030587773598227,0.063637978583227,4.27771457621156,5.256
45,"Virtus",100.0,5.0,1981,"29 Rue de Cotte","Paris, Ile-de-France, France","restaurant francais","Paris","75012",12,"intermediaire","75112","75112","Paris 12e Arrondissement",140311.0,23290.1806582801,33253.9188177107,6535.30052445586,0.724158900822797,1.00984719740025,29250,0.757852723654768,0.038086111867207,0.078425923577196,1.8346477947609,4.146
46,"Riviera Fuga",55.0,5.0,7479,"10 Port des Invalides","Paris, Ile-de-France, France","restaurant","Paris","75007",7,"centre","75107","75107","Paris 7e Arrondissement",48520.0,8118.98517883259,11547.3973563606,1512.59421664728,0.730018207474047,0.673087086427869,44110,0.855623356214713,0.022072883224414,0.061382880841802,4.68011779355016,5.554
47,"Kasumi - Fusion Japonaise",30.0,5.0,7142,"38 Rue Balard","Paris, Ile-de-France, France","restaurant","Paris","75015",15,"intermediaire","75115","75115","Paris 15e Arrondissement",229472.0,39337.4060818076,53757.288724588,9507.41786511248,0.74787454884094,0.908778740654541,32120,0.805395319867429,0.030544020423073,0.074763457990758,2.57368316242971,4.331
48,"Brasserie LAlsace",30.0,5.0,21156,"39 Av. des Champs-Elysees","Paris, Ile-de-France, France","cafe","Paris","75008",8,"centre","75108","75108","Paris 8e Arrondissement",35631.0,7081.67320716381,8845.45397479675,1289.69041278396,0.867082869656758,0.749200878157974,42680,0.83621824477181,0.030587773598227,0.063637978583227,4.27771457621156,5.256
49,"Kodawari Ramen Yokocho",25.0,5.0,16684,"29 Rue Mazarine","Paris, Ile-de-France, France","restaurant","Paris","75006",6,"centre","75106","75106","Paris 6e Arrondissement",39625.0,7425.56482872606,8786.3660336547,1359.35037479947,0.817547423979192,0.794977895159843,39600,0.867610097376763,0.018056818823904,0.062648602215602,4.17277949236363,5.751
50,"Buffet Gourmet",25.0,5.0,698,"46 Rue Vavin","Paris, Ile-de-France, France","cafeteria","Paris","75006",6,"centre","75106","75106","Paris 6e Arrondissement",39625.0,7425.56482872606,8786.3660336547,1359.35037479947,0.817547423979192,0.794977895159843,39600,0.867610097376763,0.018056818823904,0.062648602215602,4.17277949236363,5.751
51,"PEPPE PIZZERIA Etienne Marcel",25.0,5.0,6491,"11 Rue Etienne Marcel","Paris, Ile-de-France, France","pizzeria","Paris","75001",1,"centre","75101","75101","Paris 1er Arrondissement",16030.0,2253.85676832728,3625.24399870642,646.448751278679,0.61340247876124,0.916283343788528,33960,0.812463042504407,0.030768029448353,0.07851608460805,2.78080078176679,6.207
52,"Faubourg Daimant",15.0,5.0,3538,"20 Rue du Faubourg Poissonniere","Paris, Ile-de-France, France","restaurant vegetariens","Paris","75010",10,"intermediaire","75110","75110","Paris 10e Arrondissement",83459.0,13494.021452243,19584.0122896016,3264.72212696351,0.705376448586344,0.856598842358534,28060,0.774063111880029,0.044224639427051,0.095936388703015,1.40254851180917,5.934
53,"Cinquecento",25.0,5.0,6879,"38 Rue Saint Denis","Paris, Ile-de-France, France","pizzeria","Paris","75001",1,"centre","75101","75101","Paris 1er Arrondissement",16030.0,2253.85676832728,3625.24399870642,646.448751278679,0.61340247876124,0.916283343788528,33960,0.812463042504407,0.030768029448353,0.07851608460805,2.78080078176679,6.207
54,"Kozy Montmartre All-week Brunch Coffee",15.0,5.0,7144,"5 bis Rue la Vieuville","Paris, Ile-de-France, France","cafe","Paris","75018",18,"peripherie","75118","75118","Paris 18e Arrondissement",191135.0,30805.0161302009,43425.8288875106,9783.97545467691,0.703127291700882,1.15771103039105,23930,0.715037004573533,0.059916595322748,0.092040756232497,0.490370335625503,4.506
55,"Al Solito Posto",15.0,5.0,8010,"91 Rue Saint-Martin","Paris, Ile-de-France, France","pizzeria","Paris","75004",4,"centre","75104","75104","Paris 4e Arrondissement",29064.0,4472.10595374178,6827.15925744134,1166.64748507198,0.671288852264113,0.878076893367938,31790,0.830494513501966,0.024655313830149,0.08930582417867,2.46645807601084,6.261
56,"Isshin Ramen",15.0,5.0,9374,"168 Rue Montmartre","Paris, Ile-de-France, France","restaurant","Paris","75002",2,"centre","75102","75102","Paris 2e Arrondissement",21130.0,3000.31881558287,4924.89480734583,659.024051475884,0.619470520834343,0.687602171366908,32380,0.840393667932997,0.036713077447815,0.081152251209948,2.60730658520125,6.091
57,"Chez Pippo",25.0,5.0,10613,"31 Av. de la Bourdonnais","Paris, Ile-de-France, France","pizzeria","Paris","75007",7,"centre","75107","75107","Paris 7e Arrondissement",48520.0,8118.98517883259,11547.3973563606,1512.59421664728,0.730018207474047,0.673087086427869,44110,0.855623356214713,0.022072883224414,0.061382880841802,4.68011779355016,5.554
58,"Pink Mamma",30.0,5.0,50145,"20bis Rue de Douai","Paris, Ile-de-France, France","restaurant","Paris","75009",9,"centre","75109","75109","Paris 9e Arrondissement",60168.0,9785.83369966075,14608.6262698335,2112.99452561135,0.709553245832839,0.743227767047381,35630,0.85008578734145,0.030019388169036,0.076818168211707,3.21525560165214,5.741
59,"Restaurant Guy Savoy",100.0,5.0,4668,"11 Quai de Conti","Paris, Ile-de-France, France","restaurant","Paris","75006",6,"centre","75106","75106","Paris 6e Arrondissement",39625.0,7425.56482872606,8786.3660336547,1359.35037479947,0.817547423979192,0.794977895159843,39600,0.867610097376763,0.018056818823904,0.062648602215602,4.17277949236363,5.751
60,"SHINKO OPERA",15.0,5.0,11355,"27 Bd des Italiens","Paris, Ile-de-France, France","restaurant japonais","Paris","75002",2,"centre","75102","75102","Paris 2e Arrondissement",21130.0,3000.31881558287,4924.89480734583,659.024051475884,0.619470520834343,0.687602171366908,32380,0.840393667932997,0.036713077447815,0.081152251209948,2.60730658520125,6.091
61,"Kozy",15.0,5.0,11226,"6 Rue du Petit Pont","Paris, Ile-de-France, France","cafe","Paris","75005",5,"centre","75105","75105","Paris 5e Arrondissement",57380.0,10853.1833131306,12762.6203488744,2047.51752995005,0.825181209903045,0.824367215166068,34650,0.852722588714883,0.022065761923038,0.061616505985879,3.43672949788336,5.6
62,"Aux Lyonnais",32.0,5.0,2326,"32 Rue Saint-Marc","Paris, Ile-de-France, France","restaurant francais","Paris","75002",2,"centre","75102","75102","Paris 2e Arrondissement",21130.0,3000.31881558287,4924.89480734583,659.024051475884,0.619470520834343,0.687602171366908,32380,0.840393667932997,0.036713077447815,0.081152251209948,2.60730658520125,6.091
63,"LOiseau Blanc",100.0,5.0,3393,"19 Av. Kleber","Paris, Ile-de-France, France","restaurant francais","Paris","75116",16,"peripherie","75116","75116","Paris 16e Arrondissement",162820.0,32366.3837401309,40763.4493727417,6492.4010657931,0.867239727109331,0.818403253535766,40140,0.824474795160243,0.025874171304588,0.069093386917932,3.84720191018132,3.657
64,"Ground Control",15.0,5.0,15855,"81 Rue Du Charolais","Paris, Ile-de-France, France","pub et bar","Paris","75012",12,"intermediaire","75112","75112","Paris 12e Arrondissement",140311.0,23290.1806582801,33253.9188177107,6535.30052445586,0.724158900822797,1.00984719740025,29250,0.757852723654768,0.038086111867207,0.078425923577196,1.8346477947609,4.146
65,"Le Coq Fils - the Poultry House",32.0,5.0,6106,"98 Rue Lepic","Paris, Ile-de-France, France","restaurant francais","Paris","75018",18,"peripherie","75118","75118","Paris 18e Arrondissement",191135.0,30805.0161302009,43425.8288875106,9783.97545467691,0.703127291700882,1.15771103039105,23930,0.715037004573533,0.059916595322748,0.092040756232497,0.490370335625503,4.506
66,"La Coupole",43.0,5.0,24807,"102 Boulevard du Montparnasse","Paris, Ile-de-France, France","restaurant","Paris","75014",14,"intermediaire","75114","75114","Paris 14e Arrondissement",133967.0,22244.8424291788,30318.9850075247,6009.22091911199,0.724409667253306,1.01844233884749,28730,0.782915953622741,0.030631479354502,0.07956018221338,1.94411586474717,4.301
67,"Pizzeria Popolare",25.0,5.0,45771,"111 Rue Reaumur","Paris, Ile-de-France, France","pizzeria","Paris","75002",2,"centre","75102","75102","Paris 2e Arrondissement",21130.0,3000.31881558287,4924.89480734583,659.024051475884,0.619470520834343,0.687602171366908,32380,0.840393667932997,0.036713077447815,0.081152251209948,2.60730658520125,6.091
68,"Mian Fan Dumpling Factory Paris 2",15.0,5.0,4367,"15 Bd Montmartre","Paris, Ile-de-France, France","restaurant","Paris","75002",2,"centre","75102","75102","Paris 2e Arrondissement",21130.0,3000.31881558287,4924.89480734583,659.024051475884,0.619470520834343,0.687602171366908,32380,0.840393667932997,0.036713077447815,0.081152251209948,2.60730658520125,6.091
69,"Moka Brunch Coffee - Champs Elysees",15.0,5.0,1706,"11 Rue du Colisee","Paris, Ile-de-France, France","restaurant","Paris","75008",8,"centre","75108","75108","Paris 8e Arrondissement",35631.0,7081.67320716381,8845.45397479675,1289.69041278396,0.867082869656758,0.749200878157974,42680,0.83621824477181,0.030587773598227,0.063637978583227,4.27771457621156,5.256
70,"GRUPPOMIMO - Paris 2",25.0,5.0,19223,"157 Rue Montmartre","Paris, Ile-de-France, France","pizzeria","Paris","75002",2,"centre","75102","75102","Paris 2e Arrondissement",21130.0,3000.31881558287,4924.89480734583,659.024051475884,0.619470520834343,0.687602171366908,32380,0.840393667932997,0.036713077447815,0.081152251209948,2.60730658520125,6.091
71,"Canard Champagne - French Paradoxe",35.0,5.0,3944,"57 Pass. des Panoramas","Paris, Ile-de-France, France","restaurant francais","Paris","75002",2,"centre","75102","75102","Paris 2e Arrondissement",21130.0,3000.31881558287,4924.89480734583,659.024051475884,0.619470520834343,0.687602171366908,32380,0.840393667932997,0.036713077447815,0.081152251209948,2.60730658520125,6.091
72,"Terrys Cafe",25.0,5.0,14357,"60 Bd du Montparnasse","Paris, Ile-de-France, France","cafe","Paris","75015",15,"intermediaire","75115","75115","Paris 15e Arrondissement",229472.0,39337.4060818076,53757.288724588,9507.41786511248,0.74787454884094,0.908778740654541,32120,0.805395319867429,0.030544020423073,0.074763457990758,2.57368316242971,4.331
73,"Le Nouvel Institut",15.0,5.0,5652,"1 Boulevard Saint-Germain","Paris, Ile-de-France, France","cafe","Paris","75005",5,"centre","75105","75105","Paris 5e Arrondissement",57380.0,10853.1833131306,12762.6203488744,2047.51752995005,0.825181209903045,0.824367215166068,34650,0.852722588714883,0.022065761923038,0.061616505985879,3.43672949788336,5.6
74,"Matignon",100.0,5.0,8016,"3 Av. Matignon","Paris, Ile-de-France, France","club","Paris","75008",8,"centre","75108","75108","Paris 8e Arrondissement",35631.0,7081.67320716381,8845.45397479675,1289.69041278396,0.867082869656758,0.749200878157974,42680,0.83621824477181,0.030587773598227,0.063637978583227,4.27771457621156,5.256
75,"La petite Bleue Brunch Coffee - Opera",25.0,5.0,10353,"13 Rue Auber","Paris, Ile-de-France, France","cafe","Paris","75009",9,"centre","75109","75109","Paris 9e Arrondissement",60168.0,9785.83369966075,14608.6262698335,2112.99452561135,0.709553245832839,0.743227767047381,35630,0.85008578734145,0.030019388169036,0.076818168211707,3.21525560165214,5.741
76,"Francette",28.0,5.0,7947,"1 Port de Suffren","Paris, Ile-de-France, France","restaurant","Paris","75007",7,"centre","75107","75107","Paris 7e Arrondissement",48520.0,8118.98517883259,11547.3973563606,1512.59421664728,0.730018207474047,0.673087086427869,44110,0.855623356214713,0.022072883224414,0.061382880841802,4.68011779355016,5.554
77,"Matin des Oliviers",25.0,5.0,5389,"2 Rue de lEchelle","Paris, Ile-de-France, France","restaurant","Paris","75001",1,"centre","75101","75101","Paris 1er Arrondissement",16030.0,2253.85676832728,3625.24399870642,646.448751278679,0.61340247876124,0.916283343788528,33960,0.812463042504407,0.030768029448353,0.07851608460805,2.78080078176679,6.207
