nom;prix_intervalle;rating;nb_notes;adresse;ville;latitude;longitude;main_category;lat_round;lon_round;commune;code_postal;code_insee;arrondissement;zone_paris;
Immersion Sentier - Lunch Everyday Brunch Coffee;25.0;5.0;5306;106 Rue Montmartre;Paris, Île-de-France, France;48.8675422;2.344098;café;48.8675;2.3441;Paris;75002;;2;centre;
L'Ébauchoir;25.0;5.0;3239;43 rue Citeaux;Paris, Île-de-France, France;48.8498715;2.3811387;restaurant français;48.8499;2.3811;Paris;75012;;12;intermediaire;
Hestia Restaurant;65.0;5.0;819;8 Rue de la Huchette;Paris, Île-de-France, France;48.8529399;2.346266;restaurant;48.8529;2.3463;Paris;75005;;5;centre;
Bon Bouquet Café;25.0;5.0;11401;30 Rue Le Peletier;Paris, Île-de-France, France;48.874568;2.345246;café;48.8746;2.3452;Paris;75009;;9;centre;
New Jawad Longchamp;25.0;5.0;11064;30 Rue de Longchamp;Paris, Île-de-France, France;48.86516;2.290221;restaurant;48.8652;2.2902;Paris;75116;;16;peripherie;
Trantranzai Châtelet;15.0;5.0;8467;94 Rue St Denis;Paris, Île-de-France, France;48.8631759;2.3499088;restaurant chinois;48.8632;2.3499;Paris;75001;;1;centre;
DAME;47.5;5.0;455;38 Rue Condorcet;Paris, Île-de-France, France;48.8799777;2.3449504;restaurant français;48.88;2.345;Paris;75009;;9;centre;
Ducasse sur Seine;145.0;5.0;2663;19 Port Debilly;Paris, Île-de-France, France;48.8605363;2.2918296;restaurant français;48.8605;2.2918;Paris;75016;;16;peripherie;
Bistrotters;45.0;5.0;5327;9 Rue Decrès;Paris, Île-de-France, France;48.8327769;2.3148769;restaurant;48.8328;2.3149;Paris;75014;;14;intermediaire;
Chantoiseau;49.5;5.0;1291;63 Rue Lepic;Paris, Île-de-France, France;48.8877673;2.3347259;restaurant français;48.8878;2.3347;Paris;75018;;18;peripherie;
Mallory Gabsi;100.0;5.0;2341;28 Rue des Acacias;Paris, Île-de-France, France;48.876754;2.2915184;restaurant;48.8768;2.2915;Paris;75017;;17;peripherie;
Tigermilk Sentier - Paris 2;25.0;5.0;8475;77 Rue d'Aboukir;Paris, Île-de-France, France;48.8679134;2.3473008;restaurant;48.8679;2.3473;Paris;75002;;2;centre;
Kozy Bosquet;15.0;5.0;12406;79 Av. Bosquet;Paris, Île-de-France, France;48.8554447;2.3054898;café;48.8554;2.3055;Paris;75007;;7;centre;
La Felicitá;15.0;5.0;36220;5 Parv. Alan Turing;Paris, Île-de-France, France;48.8334295;2.3718736;pizzeria;48.8334;2.3719;Paris;75013;;13;intermediaire;
Stellar by Ephemera;30.0;5.0;20157;45 Rue Saint-Sébastien;Paris, Île-de-France, France;48.8618209;2.3716149;restaurant;48.8618;2.3716;Paris;75011;;11;intermediaire;
Peppe Pizzeria Martyrs;25.0;5.0;13389;61 R. des Martyrs;Paris, Île-de-France, France;48.8810102;2.339982;pizzeria;48.881;2.34;Paris;75009;;9;centre;
Derya;25.0;5.0;3896;16 Rue du Faubourg Saint Denis;Paris, Île-de-France, France;48.8705803;2.3532389;restaurant;48.8706;2.3532;Paris;75010;;10;intermediaire;
Les Parisiens Restaurant by Thibault Sombardier;100.0;5.0;1522;1 Rue du Pré aux Clercs;Paris, Île-de-France, France;48.8566609;2.3303688;restaurant français;48.8567;2.3304;Paris;75007;;7;centre;
Passionné Restaurant;100.0;5.0;4462;17 Rue Bergère;Paris, Île-de-France, France;48.8722139;2.3455604;restaurant français;48.8722;2.3456;Paris;75009;;9;centre;
Le Viaduc;15.0;5.0;5600;43 Av. Daumesnil;Paris, Île-de-France, France;48.847631;2.3751052;café;48.8476;2.3751;Paris;75012;;12;intermediaire;
East Mamma;25.0;5.0;24756;133 Rue du Faubourg Saint-Antoine;Paris, Île-de-France, France;48.8510615;2.3777783;pizzeria;48.8511;2.3778;Paris;75011;;11;intermediaire;
Orgueil;35.0;5.0;7688;6 Rue Popincourt;Paris, Île-de-France, France;48.8571038;2.3777207;restaurant français;48.8571;2.3777;Paris;75011;;11;intermediaire;
Le Violon d'Ingres;100.0;5.0;4209;135 Rue Saint-Dominique;Paris, Île-de-France, France;48.8582148;2.3019196;restaurant français;48.8582;2.3019;Paris;75007;;7;centre;
Datil;100.0;5.0;845;13 Rue des Gravilliers;Paris, Île-de-France, France;48.8635818;2.3573055;restaurant;48.8636;2.3573;Paris;75003;;3;centre;
Maslow 1er;25.0;5.0;15761;14 Quai de la Mégisserie;Paris, Île-de-France, France;48.8581186;2.3443325;restaurant;48.8581;2.3443;Paris;75001;;1;centre;
Mandoobar;40.0;5.0;2652;7 Rue d'Édimbourg;Paris, Île-de-France, France;48.8793158;2.3211478;restaurant coréens;48.8793;2.3211;Paris;75008;;8;centre;
Grand Café Capucines;37.0;5.0;19271;4 Boulevard des Capucines;Paris, Île-de-France, France;48.8711033;2.33364;café;48.8711;2.3336;Paris;75009;;9;centre;
Brigade du Tigre;23.5;5.0;2533;38 Rue du Faubourg Poissonnière;Paris, Île-de-France, France;48.8734359;2.3481192;restaurant asiatiques;48.8734;2.3481;Paris;75010;;10;intermediaire;
adraba;51.0;5.0;1571;40 Rue Véron;Paris, Île-de-France, France;48.8852372;2.3349937;restaurant;48.8852;2.335;Paris;75018;;18;peripherie;
Naï Naï - Bistrot chic asiatique;25.0;5.0;6117;93 Rue de la Victoire;Paris, Île-de-France, France;48.8747325;2.3307636;restaurant;48.8747;2.3308;Paris;75009;;9;centre;
Le Jules Verne;100.0;5.0;7871;Avenue Gustave Eiffel 2ème, Eiffel Tower, Av. Anatole France;Paris, Île-de-France, France;48.8583698;2.2944833;restaurant français;48.8584;2.2945;Paris;75007;;7;centre;
ONYX;56.0;5.0;12097;71 Rue de Provence;Paris, Île-de-France, France;48.8742576;2.3326381;restaurant français;48.8743;2.3326;Paris;75009;;9;centre;
Epicure;100.0;5.0;5082;112 Rue du Faubourg Saint-Honoré;Paris, Île-de-France, France;48.8717373;2.3148528;restaurant;48.8717;2.3149;Paris;75008;;8;centre;
Virtus;100.0;5.0;1981;29 Rue de Cotte;Paris, Île-de-France, France;48.8502976;2.3781289;restaurant français;48.8503;2.3781;Paris;75012;;12;intermediaire;
Riviera Fuga;55.0;5.0;7479;10 Port des Invalides;Paris, Île-de-France, France;48.863142;2.312379;restaurant;48.8631;2.3124;Paris;75007;;7;centre;
Kasumi 云 - Fusion Japonaise;30.0;5.0;7142;38 Rue Balard;Paris, Île-de-France, France;48.8427786;2.2773164;restaurant;48.8428;2.2773;Paris;75015;;15;intermediaire;
Brasserie L'Alsace;30.0;5.0;21156;39 Av. des Champs-Élysées;Paris, Île-de-France, France;48.8699803;2.3057718;café;48.87;2.3058;Paris;75008;;8;centre;
Kodawari Ramen (Yokochō);25.0;5.0;16684;29 Rue Mazarine;Paris, Île-de-France, France;48.8546339;2.3381036;restaurant;48.8546;2.3381;Paris;75006;;6;centre;
Buffet Gourmet;25.0;5.0;698;46 Rue Vavin;Paris, Île-de-France, France;48.8428901;2.3288988;cafeteria;48.8429;2.3289;Paris;75006;;6;centre;
PEPPE PIZZERIA Etienne Marcel;25.0;5.0;6491;11 Rue Étienne Marcel;Paris, Île-de-France, France;48.8634569;2.3500174;pizzeria;48.8635;2.35;Paris;75001;;1;centre;
Faubourg Daimant;15.0;5.0;3538;20 Rue du Faubourg Poissonnière;Paris, Île-de-France, France;48.8723322;2.3480256;restaurant végétariens;48.8723;2.348;Paris;75010;;10;intermediaire;
Cinquecento;25.0;5.0;6879;38 Rue Saint Denis;Paris, Île-de-France, France;48.860348;2.3485359;pizzeria;48.8603;2.3485;Paris;75001;;1;centre;
Kozy Montmartre | All-week Brunch & Coffee;15.0;5.0;7144;5 bis Rue la Vieuville;Paris, Île-de-France, France;48.8847006;2.3391126;café;48.8847;2.3391;Paris;75018;;18;peripherie;
Al Solito Posto;15.0;5.0;8010;91 Rue Saint-Martin;Paris, Île-de-France, France;48.8598541;2.3506096;pizzeria;48.8599;2.3506;Paris;75004;;4;centre;
Isshin Ramen;15.0;5.0;9374;168 Rue Montmartre;Paris, Île-de-France, France;48.8706114;2.3430013;restaurant;48.8706;2.343;Paris;75002;;2;centre;
Chez Pippo;25.0;5.0;10613;31 Av. de la Bourdonnais;Paris, Île-de-France, France;48.8588541;2.2986011;pizzeria;48.8589;2.2986;Paris;75007;;7;centre;
Pink Mamma;30.0;5.0;50145;20bis Rue de Douai;Paris, Île-de-France, France;48.8819469;2.3345309;restaurant;48.8819;2.3345;Paris;75009;;9;centre;
Restaurant Guy Savoy;100.0;5.0;4668;11 Quai de Conti;Paris, Île-de-France, France;48.8567046;2.3391491;restaurant;48.8567;2.3391;Paris;75006;;6;centre;
SHINKO OPERA;15.0;5.0;11355;27 Bd des Italiens;Paris, Île-de-France, France;48.8709817;2.3354313;restaurant japonais;48.871;2.3354;Paris;75002;;2;centre;
Kozy;15.0;5.0;11226;6 Rue du Petit Pont;Paris, Île-de-France, France;48.8524077;2.3462799;café;48.8524;2.3463;Paris;75005;;5;centre;
Aux Lyonnais;32.0;5.0;2326;32 Rue Saint-Marc;Paris, Île-de-France, France;48.870741;2.338718;restaurant français;48.8707;2.3387;Paris;75002;;2;centre;
L'Oiseau Blanc;100.0;5.0;3393;19 Av. Kléber;Paris, Île-de-France, France;48.8707437;2.2933137;restaurant français;48.8707;2.2933;Paris;75116;;16;peripherie;
Ground Control;15.0;5.0;15855;81 Rue Du Charolais;Paris, Île-de-France, France;48.8438517;2.3816725;pub et bar;48.8439;2.3817;Paris;75012;;12;intermediaire;
Le Coq & Fils - the Poultry House;32.0;5.0;6106;98 Rue Lepic;Paris, Île-de-France, France;48.8871994;2.3371844;restaurant français;48.8872;2.3372;Paris;75018;;18;peripherie;
La Coupole;43.0;5.0;24807;102 Boulevard du Montparnasse;Paris, Île-de-France, France;48.8422546;2.3279506;restaurant;48.8423;2.328;Paris;75014;;14;intermediaire;
Pizzeria Popolare;25.0;5.0;45771;111 Rue Réaumur;Paris, Île-de-France, France;48.8680344;2.34349;pizzeria;48.868;2.3435;Paris;75002;;2;centre;
Mian Fan Dumpling Factory Paris 2;15.0;5.0;4367;15 Bd Montmartre;Paris, Île-de-France, France;48.8715967;2.3411612;restaurant;48.8716;2.3412;Paris;75002;;2;centre;
Moka Brunch & Coffee - Champs Elysées;15.0;5.0;1706;11 Rue du Colisée;Paris, Île-de-France, France;48.8706623;2.3079284;restaurant;48.8707;2.3079;Paris;75008;;8;centre;
GRUPPOMIMO - Paris 2;25.0;5.0;19223;157 Rue Montmartre;Paris, Île-de-France, France;48.8707325;2.3426686;pizzeria;48.8707;2.3427;Paris;75002;;2;centre;
Canard & Champagne - French Paradoxe;35.0;5.0;3944;57 Pass. des Panoramas;Paris, Île-de-France, France;48.8712698;2.3415788;restaurant français;48.8713;2.3416;Paris;75002;;2;centre;
Terry's Café;25.0;5.0;14357;60 Bd du Montparnasse;Paris, Île-de-France, France;48.8442136;2.3222648;café;48.8442;2.3223;Paris;75015;;15;intermediaire;
Le Nouvel Institut;15.0;5.0;5652;1 Boulevard Saint-Germain;Paris, Île-de-France, France;48.84923;2.355606;café;48.8492;2.3556;Paris;75005;;5;centre;
Matignon;100.0;5.0;8016;3 Av. Matignon;Paris, Île-de-France, France;48.8697825;2.3111293;club;48.8698;2.3111;Paris;75008;;8;centre;
La petite Bleue Brunch & Coffee - Opéra;25.0;5.0;10353;13 Rue Auber;Paris, Île-de-France, France;48.8727121;2.3288002;café;48.8727;2.3288;Paris;75009;;9;centre;
Francette;28.0;5.0;7947;1 Port de Suffren;Paris, Île-de-France, France;48.858805;2.2913978;restaurant;48.8588;2.2914;Paris;75007;;7;centre;
Matin des Oliviers;25.0;5.0;5389;2 Rue de l'Échelle;Paris, Île-de-France, France;48.8634588;2.3342314;restaurant;48.8635;2.3342;Paris;75001;;1;centre;
Vins Des Pyrénées;28.5;5.0;2448;25 Rue Beautreillis;Paris, Île-de-France, France;48.8537473;2.3644392;restaurant français;48.8537;2.3644;Paris;75004;;4;centre;
Le Tout-Paris;100.0;5.0;2127;8 Quai du Louvre;Paris, Île-de-France, France;48.8587493;2.3422529;restaurant;48.8587;2.3423;Paris;75001;;1;centre;
Kozy Kanopé | All-week Brunch & Coffee;15.0;5.0;12960;46 Rue La Fayette;Paris, Île-de-France, France;48.874782;2.3401412;café;48.8748;2.3401;Paris;75009;;9;centre;
Le Fumoir;15.0;5.0;7223;6 Rue de Admiral Coligny;Paris, Île-de-France, France;48.8604263;2.3409253;restaurant;48.8604;2.3409;Paris;75001;;1;centre;
Breizh Café Odéon | La Crêpe Autrement;25.0;5.0;3465;1 Rue de l'Odéon;Paris, Île-de-France, France;48.851696;2.338916;café;48.8517;2.3389;Paris;75006;;6;centre;
GRUPPOMIMO - Restaurant Italien Paris 11;25.0;5.0;9744;24 Rue Keller;Paris, Île-de-France, France;48.8549739;2.3759126;restaurant;48.855;2.3759;Paris;75011;;11;intermediaire;
Le Christine;100.0;5.0;4381;1 Rue Christine;Paris, Île-de-France, France;48.8543056;2.3402167;restaurant français;48.8543;2.3402;Paris;75006;;6;centre;
Liza;39.0;5.0;3192;14 Rue de la Banque;Paris, Île-de-France, France;48.8676068;2.3408224;restaurant;48.8676;2.3408;Paris;75002;;2;centre;
Le Cinq;100.0;5.0;4385;31 Av. George V;Paris, Île-de-France, France;48.868849;2.300683;restaurant français;48.8688;2.3007;Paris;75008;;8;centre;
Le Clarence;205.0;5.0;1696;31 Av. Franklin Delano Roosevelt;Paris, Île-de-France, France;48.8674268;2.3097739;restaurant français;48.8674;2.3098;Paris;75008;;8;centre;
FIEF / Fait Ici En France;100.0;5.0;1491;44 Rue de la Folie Méricourt;Paris, Île-de-France, France;48.8636616;2.3724591;restaurant français;48.8637;2.3725;Paris;75011;;11;intermediaire;
La Table de Colette;100.0;5.0;2704;17 Rue Laplace;Paris, Île-de-France, France;48.8473045;2.3472188;restaurant français;48.8473;2.3472;Paris;75005;;5;centre;
Biwan · iRASSHAi;25.0;5.0;2185;40 Rue du Louvre;Paris, Île-de-France, France;48.8625052;2.3417512;restaurant japonais;48.8625;2.3418;Paris;75001;;1;centre;
La Casa di Alfio;25.0;5.0;8371;43 Av. de la Bourdonnais;Paris, Île-de-France, France;48.858076;2.299824;pizzeria;48.8581;2.2998;Paris;75007;;7;centre;
Mian Fan;15.0;5.0;6530;20 Rue de Mogador;Paris, Île-de-France, France;48.8748295;2.3315236;restaurant;48.8748;2.3315;Paris;75009;;9;centre;
La Crémaillère 1900;23.5;5.0;10514;15 Pl. du Tertre;Paris, Île-de-France, France;48.886551;2.3405331;restaurant français;48.8866;2.3405;Paris;75018;;18;peripherie;
ANONA;100.0;5.0;1630;80 Bd des Batignolles;Paris, Île-de-France, France;48.8819617;2.3186601;restaurant français;48.882;2.3187;Paris;75017;;17;peripherie;
Ti Amo - Châtelet-les-Halles;15.0;5.0;3352;25 Rue de la Reynie;Paris, Île-de-France, France;48.86004;2.3484902;restaurant;48.86;2.3485;Paris;75001;;1;centre;
Toppoki;15.0;5.0;4202;109 Bd Saint-Germain;Paris, Île-de-France, France;48.8523477;2.3383189;restaurant;48.8523;2.3383;Paris;75006;;6;centre;
Le Carré Élysée;30.0;5.0;4293;49 Av. Franklin Delano Roosevelt;Paris, Île-de-France, France;48.870112;2.3098835;café;48.8701;2.3099;Paris;75008;;8;centre;
La Maison de l'Aubrac;30.5;5.0;11125;37 Rue Marbeuf;Paris, Île-de-France, France;48.869619;2.305197;restaurant français;48.8696;2.3052;Paris;75008;;8;centre;
Fuuki;15.0;5.0;4184;113 Rue du Chevaleret;Paris, Île-de-France, France;48.8312697;2.3736213;restaurant;48.8313;2.3736;Paris;75013;;13;intermediaire;
Bouillon Chartier;15.0;5.0;20245;59 Bd du Montparnasse;Paris, Île-de-France, France;48.8442908;2.3233219;restaurant français;48.8443;2.3233;Paris;75015;;15;intermediaire;
Chez Gladines Saint Germain;25.0;5.0;3569;44 Bd Saint-Germain;Paris, Île-de-France, France;48.8497639;2.3507668;restaurant;48.8498;2.3508;Paris;75005;;5;centre;
Restaurant Numidia;15.0;5.0;10249;126 Rue d'Avron;Paris, Île-de-France, France;48.8530007;2.408533;restaurant algériens;48.853;2.4085;Paris;75020;;20;peripherie;
L'Atelier de Joël Robuchon Étoile - Champs-Élysées;100.0;5.0;5672;Publicis Drugstore, 133 Av. des Champs-Élysées;Paris, Île-de-France, France;48.8727704;2.2971327;restaurant français;48.8728;2.2971;Paris;75008;;8;centre;
Mont Frenchy;25.0;5.0;5921;56 Bd du Montparnasse;Paris, Île-de-France, France;48.8443364;2.3219246;restaurant français;48.8443;2.3219;Paris;75015;;15;intermediaire;
Chakaiseki Akiyoshi;100.0;5.0;970;59 Rue Letellier;Paris, Île-de-France, France;48.8470136;2.2989248;restaurant japonais;48.847;2.2989;Paris;75015;;15;intermediaire;
Au Pied de Cochon;34.5;5.0;29600;6 Rue Coquillière;Paris, Île-de-France, France;48.8635176;2.3437221;restaurant;48.8635;2.3437;Paris;75001;;1;centre;
Brasserie Des Prés;30.0;5.0;6647;6 Cr du Commerce Saint-André;Paris, Île-de-France, France;48.8529451;2.3391987;café;48.8529;2.3392;Paris;75006;;6;centre;
Fuwa Fuwa;15.0;5.0;1742;16 Rue d'Argenteuil;Paris, Île-de-France, France;48.8655803;2.3338599;desserts;48.8656;2.3339;Paris;75001;;1;centre;
Choubidou Bastille;5.5;5.0;1152;71 Rue de Lyon;Paris, Île-de-France, France;48.851258;2.3698229;restaurant;48.8513;2.3698;Paris;75012;;12;intermediaire;
La Fontaine de Mars;30.5;5.0;5427;129 Rue Saint-Dominique;Paris, Île-de-France, France;48.8583982;2.3025519;restaurant;48.8584;2.3026;Paris;75007;;7;centre;
Bofinger;43.0;5.0;19121;5-7 Rue de la Bastille;Paris, Île-de-France, France;48.8539497;2.3678627;restaurant français;48.8539;2.3679;Paris;75004;;4;centre;
Le Train Bleu;32.0;5.0;44686;Gare de Lyon, Pl. Louis Armand hall 1;Paris, Île-de-France, France;48.8448989;2.3732694;restaurant français;48.8449;2.3733;Paris;75012;;12;intermediaire;
étsi - le bistro;40.0;5.0;1689;23 Rue Eugène Carrière;Paris, Île-de-France, France;48.8903736;2.3328924;restaurant;48.8904;2.3329;Paris;75018;;18;peripherie;
Ladurée Champs-Elysées;35.0;5.0;30433;75 Av. des Champs-Élysées;Paris, Île-de-France, France;48.870839;2.30319;desserts;48.8708;2.3032;Paris;75008;;8;centre;
Les Deux Magots;32.0;5.0;18705;6 Pl. Saint-Germain des Prés;Paris, Île-de-France, France;48.854052;2.3331062;café;48.8541;2.3331;Paris;75006;;6;centre;
Angelina Paris – Rivoli; Salon de thé historique;20.0;5.0;44686;226 Rue de Rivoli;Paris, Île-de-France, France;48.8650898;2.3284434;desserts;48.8651;2.3284;Paris;75001;;1;centre
Madame Brasserie - Tour Eiffel;100.0;5.0;7930;Eiffel Tower, 1er;Paris, Île-de-France, France;48.8584166;2.2946008;restaurant;48.8584;2.2946;Paris;75007;;7;centre;
Bateaux-Mouches;79.0;5.0;31013;Port de la Conférence;Paris, Île-de-France, France;48.8640106;2.3059374;restaurant;48.864;2.3059;Paris;75008;;8;centre;
Capsule Restaurant;40.0;5.0;517;2 Rue Cassini;Paris, Île-de-France, France;48.8368302;2.3381604;restaurant;48.8368;2.3382;Paris;75014;;14;intermediaire;
Monsieur Bleu;100.0;5.0;7591;Palais De Tokyo, 20 Avenue De New York;Paris, Île-de-France, France;48.8638411;2.2967794;restaurant français;48.8638;2.2968;Paris;75116;;16;peripherie;
Pierre Sang In Oberkampf;34.5;5.0;4831;55 Rue Oberkampf;Paris, Île-de-France, France;48.8647418;2.3723575;restaurant;48.8647;2.3724;Paris;75011;;11;intermediaire;
Galeries Lafayette Champs-Élysées;9.0;5.0;11484;60 Av. des Champs-Élysées;Paris, Île-de-France, France;48.8706988;2.3062649;;48.8707;2.3063;Paris;75008;;8;centre;
Gros Bao - Paris;25.0;5.0;8231;72 Quai de Jemmapes;Paris, Île-de-France, France;48.8714928;2.3657866;restaurant chinois;48.8715;2.3658;Paris;75010;;10;intermediaire;
Benoit Paris;100.0;5.0;5637;20 Rue Saint-Martin;Paris, Île-de-France, France;48.8584202;2.3500687;restaurant français;48.8584;2.3501;Paris;75004;;4;centre;
Rosa Bonheur Buttes Chaumont;15.0;5.0;4303;2 Av. de la Cascade;Paris, Île-de-France, France;48.879936;2.386241;pub et bar;48.8799;2.3862;Paris;75019;;19;peripherie;
Aléa;30.0;5.0;1092;39 Rue Lamarck;Paris, Île-de-France, France;48.8892843;2.3413757;restaurant français;48.8893;2.3414;Paris;75018;;18;peripherie;
Breizh Café Marais | La Crêpe Autrement;25.0;5.0;8237;109 Rue Vieille du Temple;Paris, Île-de-France, France;48.8606206;2.3618066;café;48.8606;2.3618;Paris;75003;;3;centre;
La REcyclerie;25.0;5.0;10555;83 Bd Ornano;Paris, Île-de-France, France;48.8976283;2.3441749;restaurant français;48.8976;2.3442;Paris;75018;;18;peripherie;
Loulou;25.0;5.0;11969;90 Bd Saint-Germain;Paris, Île-de-France, France;48.8512011;2.3448571;restaurant;48.8512;2.3449;Paris;75005;;5;centre;
Harry's Bar Paris;15.0;5.0;6154;5 Rue Daunou;Paris, Île-de-France, France;48.8692018;2.3320688;bars à cocktails;48.8692;2.3321;Paris;75002;;2;centre;
Sushi Way Forum des Halles;15.0;5.0;4086;101 Porte Berger, Lot 07;Paris, Île-de-France, France;48.8623355;2.343909;sushis;48.8623;2.3439;Paris;75001;;1;centre;
Caillebotte;24.0;5.0;2242;8 Rue Hippolyte Lebas;Paris, Île-de-France, France;48.8771649;2.3407727;restaurant;48.8772;2.3408;Paris;75009;;9;centre;
Le Café Marly;32.5;5.0;18712;93 Rue de Rivoli;Paris, Île-de-France, France;48.8616689;2.3359927;café;48.8617;2.336;Paris;75001;;1;centre;
Black Angus République;35.0;5.0;11037;8 Pl. de la République;Paris, Île-de-France, France;48.8667895;2.3657069;restaurant français;48.8668;2.3657;Paris;75011;;11;intermediaire;
Le Pré Catelan;240.0;5.0;3428;Bois de Boulogne;Paris, Île-de-France, France;48.8639993;2.2507703;restaurant;48.864;2.2508;Paris;75016;;16;peripherie;
Le Petit Cler;25.0;5.0;4054;29 Rue Cler;Paris, Île-de-France, France;48.857448;2.3061987;restaurant;48.8574;2.3062;Paris;75007;;7;centre;
BRU Paris;40.0;5.0;506;28 Rue Jean-Baptiste Pigalle;Paris, Île-de-France, France;48.8793757;2.3338498;restaurant;48.8794;2.3338;Paris;75009;;9;centre;
Bouillon Chartier Grands Boulevards;15.0;5.0;51579;7 Rue du Faubourg Montmartre;Paris, Île-de-France, France;48.8719333;2.3430535;restaurant français;48.8719;2.3431;Paris;75009;;9;centre;
Le Wepler;30.5;5.0;6416;14 Pl. de Clichy;Paris, Île-de-France, France;48.8838516;2.3275515;restaurant;48.8839;2.3276;Paris;75018;;18;peripherie;
Brasserie Dubillot;25.0;5.0;9138;222 Rue St Denis;Paris, Île-de-France, France;48.8680791;2.3519853;restaurant français;48.8681;2.352;Paris;75002;;2;centre;
Les Résistants;32.5;5.0;2070;16 Rue du Château d'Eau;Paris, Île-de-France, France;48.8699749;2.3606736;restaurant français;48.87;2.3607;Paris;75010;;10;intermediaire;
Immersion Vendôme;25.0;5.0;7187;Immersion Vendôme, 23 Rue Danielle Casanova;Paris, Île-de-France, France;48.867848;2.3316813;café;48.8678;2.3317;Paris;75001;;1;centre;
Les Ombres;105.0;5.0;9394;27 Quai Jacques Chirac;Paris, Île-de-France, France;48.86178;2.29869;restaurant français;48.8618;2.2987;Paris;75007;;7;centre;
L'Atelier De Joël Robuchon Saint-Germain;100.0;5.0;8820;5 Rue de Montalembert;Paris, Île-de-France, France;48.856686;2.3277452;restaurant français;48.8567;2.3277;Paris;75007;;7;centre;
Rooster par Frédéric Duca;100.0;5.0;1429;137 Rue Cardinet;Paris, Île-de-France, France;48.8867428;2.3130887;restaurant français;48.8867;2.3131;Paris;75017;;17;peripherie;
Mama Restaurant Paris West;35.0;5.0;2970;20 Av. de la Prte de la Plaine;Paris, Île-de-France, France;48.8287134;2.29196;restaurant;48.8287;2.292;Paris;75015;;15;intermediaire;
Folie Crabe Etienne Marcel;15.0;5.0;3315;6 Rue Étienne Marcel;Paris, Île-de-France, France;48.8637036;2.3503951;fruits de mer;48.8637;2.3504;Paris;75002;;2;centre;
WALY-FAY;35.0;5.0;3069;6 Rue Godefroy Cavaignac;Paris, Île-de-France, France;48.8542519;2.3819387;restaurant africains;48.8543;2.3819;Paris;75011;;11;intermediaire;
Flora Danica;49.5;5.0;10155;142 Avenue des Champs-Elysées;Paris, Île-de-France, France;48.8729098;2.2988818;restaurant danois;48.8729;2.2989;Paris;75008;;8;centre;
Shodaï Matcha Paris;15.0;5.0;5601;19 Rue Saint-Augustin;Paris, Île-de-France, France;48.868811;2.3363052;desserts;48.8688;2.3363;Paris;75002;;2;centre;
Frenchie;100.0;5.0;5114;5 Rue du Nil;Paris, Île-de-France, France;48.8677099;2.3479183;restaurant français;48.8677;2.3479;Paris;75002;;2;centre;
Auteuil Brasserie;30.0;5.0;13088;78 Rue d'Auteuil;Paris, Île-de-France, France;48.848332;2.259869;restaurant;48.8483;2.2599;Paris;75016;;16;peripherie;
Ose;41.5;5.0;638;3 Rue Durantin;Paris, Île-de-France, France;48.8852167;2.3373416;restaurant français;48.8852;2.3373;Paris;75018;;18;peripherie;
